userId;gender;age;occupation;zipcode;password
228;M;25;15;55455;password
229;M;18;10;4576;password
230;M;45;1;43210;password
231;M;25;3;55455;password
232;M;25;20;55408;password
233;F;45;20;37919-4204;password
234;M;35;7;39652;password
235;M;25;0;98153;password
236;M;25;5;55126;password
237;M;25;6;46835;password
238;F;50;7;90291;password
239;M;18;19;94618;password
240;M;50;17;55113;password
241;M;35;20;55121;password
242;F;18;4;53706;password
243;M;25;16;11576;password
244;M;50;7;19072;password
245;M;35;16;66046;password
246;F;18;4;60625;password
247;M;25;17;94404;password
248;M;18;17;72703;password
249;F;18;14;48126;password
250;M;35;16;11229;password
251;M;56;17;55105;password
252;M;25;12;94112;password
253;F;25;11;97370;password
254;M;35;17;49015;password
255;M;35;0;85310;password
256;M;45;16;55076;password
257;M;18;18;55113;password
258;M;25;7;55436;password
259;M;25;1;60615;password
260;M;18;19;98126;password
261;M;25;20;75801;password
262;F;25;1;68503;password
263;F;25;7;22304;password
264;M;35;0;20755;password
265;F;35;7;55116;password
266;M;35;11;75229;password
267;M;45;12;55001;password
268;F;18;12;29708;password
269;M;25;2;55408;password
270;M;50;14;55414;password
271;M;18;4;48202;password
272;M;18;0;80302;password
273;M;18;4;55427;password
274;M;18;4;55455;password
275;M;25;0;48162;password
276;M;45;16;1982;password
277;F;35;1;98126;password
278;M;45;18;60482;password
279;M;25;14;91214;password
280;M;50;7;19118;password
281;F;35;0;94117;password
282;M;25;17;94401;password
283;M;25;0;10003;password
284;M;25;12;91910;password
285;F;35;0;94109;password
286;M;25;1;54601;password
287;M;50;13;94706;password
288;F;25;12;97119;password
289;F;25;0;11801;password
290;F;25;20;94591;password
291;M;35;12;55110;password
292;M;35;7;19406;password
293;M;56;1;55337-4056;password
294;F;45;9;43147;password
295;M;18;0;80203;password
296;M;50;5;89432;password
297;M;18;2;97211;password
298;F;18;4;19010;password
299;M;25;12;97370;password
300;M;25;7;78664;password
301;M;18;4;61820;password
302;M;18;4;4901;password
303;M;25;7;20006;password
304;M;25;0;55414;password
305;F;18;0;55414;password
306;M;18;0;53051;password
307;M;50;16;90027;password
308;M;25;2;10025;password
309;M;25;4;16801;password
310;F;18;4;31207;password
311;M;18;4;31201;password
312;F;50;2;22207;password
313;F;18;4;2138;password
314;F;56;9;46911;password
315;F;56;1;55105;password
316;M;56;13;90740;password
317;M;35;7;38555;password
318;F;56;13;55104;password
319;F;50;6;33436;password
320;M;35;6;99516;password
321;M;18;4;55128;password
322;M;56;17;55117;password
323;M;45;12;53716;password
324;M;35;17;55106;password
325;F;50;3;55112;password
326;M;50;11;25302;password
327;M;35;18;55448;password
328;M;35;12;80401;password
329;M;35;7;2115;password
330;M;56;7;92065;password
331;M;25;7;55902;password
332;M;50;1;55109;password
333;M;35;2;55410;password
334;F;56;2;55113;password
335;M;35;18;55434;password
336;M;18;0;98765;password
337;M;18;19;80205;password
338;M;35;7;55116;password
339;M;50;7;80207;password
340;F;25;3;28001;password
341;F;56;13;92119;password
342;M;18;12;55076;password
343;F;35;3;55127;password
344;M;35;14;75034;password
345;M;25;12;94114;password
346;F;25;0;55110;password
347;F;56;1;55305;password
348;M;50;7;55110;password
349;M;1;10;8035;password
350;M;45;20;8035;password
351;M;18;4;55105;password
352;M;18;4;60115;password
353;F;35;7;92625;password
354;M;35;1;55117;password
355;M;18;3;55107;password
356;M;56;20;55101;password
357;M;18;0;98103;password
358;F;56;1;20815;password
359;M;25;17;55128;password
360;M;35;17;28208;password
361;F;25;14;94115;password
362;M;35;20;55407;password
363;M;18;10;55419;password
364;F;35;1;46815;password
365;F;18;4;2138;password
366;M;50;15;55126;password
367;M;50;12;55421;password
368;M;25;0;90293;password
369;M;35;1;55110;password
370;M;18;17;22304;password
371;M;18;4;2141;password
372;F;18;4;72227;password
373;F;25;2;55347;password
374;F;35;14;55346;password
375;M;25;2;55106;password
376;M;35;1;80026;password
377;M;25;17;55418;password
378;F;18;0;55105;password
379;F;35;1;54822;password
380;M;25;2;92024;password
381;M;35;17;89015;password
382;F;35;20;66205;password
383;F;25;7;78757;password
384;M;25;11;55075;password
385;M;25;6;68131;password
386;M;25;0;55408;password
387;F;35;7;55111;password
388;F;25;0;10021;password
389;M;25;6;68128;password
390;M;25;4;55405;password
391;M;45;11;22122;password
392;M;18;7;20037;password
393;M;35;17;55402;password
394;M;18;0;55013;password
395;M;18;5;55104;password
396;M;25;1;56187;password
397;M;35;17;22124;password
398;M;25;17;55454;password
399;F;35;6;55128;password
400;F;18;3;55422;password
401;M;18;0;55129;password
402;M;25;11;55427;password
403;M;18;4;2138;password
404;M;18;4;10128;password
405;M;56;1;13077;password
406;M;25;20;55105;password
407;M;18;17;89503;password
408;M;25;11;2143;password
409;M;18;12;55122;password
410;F;25;1;55417;password
411;F;45;1;43214;password
412;M;35;15;55117;password
413;M;25;11;55409;password
414;M;25;0;55317;password
415;F;35;0;55406;password
416;M;45;14;55076;password
417;F;25;0;50613;password
418;F;25;3;54016;password
419;M;18;3;55422;password
420;M;35;1;55406;password
421;F;45;3;55125;password
422;M;56;17;55104;password
423;M;18;4;55455;password
424;M;25;17;55112;password
425;M;25;12;55303;password
426;M;18;4;55455;password
427;M;35;12;55104;password
428;F;18;4;55455;password
429;M;18;0;54901;password
430;F;18;10;55306;password
431;M;18;10;55303;password
432;M;45;16;55306;password
433;M;50;6;55115;password
434;F;45;3;98155;password
435;M;25;7;55125;password
436;M;18;4;43023;password
437;M;35;17;55030;password
438;M;18;11;53705;password
439;M;35;14;55129;password
440;M;56;1;32940;password
441;M;35;1;55127;password
442;M;25;1;55105;password
443;M;25;3;55421;password
444;M;56;0;55108;password
445;M;45;12;55117;password
446;F;50;0;55042;password
447;F;45;11;55105;password
448;M;25;17;80123;password
449;M;25;7;85037;password
450;M;45;1;24523;password
451;M;56;13;54720;password
452;M;50;17;55117;password
453;M;18;4;55102;password
454;M;25;20;55092;password
455;F;35;2;55113;password
456;M;35;0;55105;password
457;M;18;4;54703;password
458;M;50;16;55405-2546;password
459;F;18;4;55105;password
460;M;45;18;55313;password
461;M;50;7;55075;password
462;M;18;16;55416;password
463;M;25;7;55105;password
464;F;18;4;55455;password
465;M;18;19;94523;password
466;M;25;5;55405;password
467;F;35;3;55075;password
468;F;1;10;55082;password
469;M;35;6;55122;password
470;F;1;10;55068;password
471;M;35;7;8904;password
472;M;35;0;55418;password
473;F;18;4;55112;password
474;M;25;17;92126;password
475;F;25;2;55421;password
476;M;35;0;55127;password
477;M;35;14;55410;password
478;M;50;16;55113;password
479;M;25;12;55042;password
480;F;18;4;55422;password
481;M;45;7;55115;password
482;M;25;14;55305;password
483;M;18;12;55105;password
484;F;1;10;55104;password
485;M;56;7;55042;password
486;M;56;0;91367;password
487;F;35;17;55082;password
488;M;25;12;55107;password
489;M;18;4;55455;password
490;M;1;10;55345;password
491;M;18;4;56043;password
492;M;25;12;55112;password
493;M;50;7;55016;password
494;F;35;0;17870;password
495;M;18;10;55421;password
496;M;18;4;55455;password
497;F;25;17;55412;password
498;M;35;17;55113;password
499;F;25;1;55108;password
500;F;18;2;55105;password
501;M;25;2;55372;password
502;M;35;6;55126;password
503;M;35;11;73120;password
504;M;25;2;17003;password
505;M;35;17;37815;password
506;M;25;16;55103-1006;password
507;F;25;0;55405;password
508;M;25;12;55418;password
509;M;25;2;55125;password
510;M;18;12;55109;password
511;F;45;4;15232;password
512;M;35;0;55379;password
513;M;25;0;55119;password
514;M;25;2;55113;password
515;M;25;1;55406;password
516;F;56;14;55033;password
517;F;25;14;55408;password
518;F;35;12;75240;password
519;F;35;14;55038;password
520;F;35;20;55104;password
521;M;56;7;55105;password
522;M;25;12;55124;password
523;M;50;7;55105;password
524;M;18;0;91320;password
525;M;35;6;19027;password
526;M;45;17;94806;password
527;F;25;2;11201;password
528;F;18;17;83843;password
529;M;35;12;92009;password
530;M;25;2;10019;password
531;F;18;14;22206;password
532;M;25;7;94301;password
533;M;25;12;27514;password
534;M;25;15;55902;password
535;M;35;6;95370;password
536;M;25;20;1267;password
537;M;45;14;7704;password
538;M;56;16;95407;password
539;M;25;2;55103;password
540;M;18;1;15213;password
541;F;18;4;5849574;password
542;M;18;4;78705;password
543;M;25;5;55057;password
544;M;35;12;94538;password
545;M;35;17;1890;password
546;F;25;0;37211;password
547;M;35;12;76109;password
548;F;35;16;96860;password
549;M;25;6;53217;password
550;M;45;8;21559;password
551;M;35;20;55116;password
552;M;50;18;23456;password
553;M;25;2;94131;password
554;M;25;12;94086;password
555;M;18;4;53213;password
556;F;25;9;37221;password
557;M;56;1;30030;password
558;M;35;20;55108;password
559;F;25;7;60422;password
560;M;45;15;81335;password
561;F;18;14;64060;password
562;M;35;20;48083;password
563;M;25;4;53703;password
564;M;45;1;49419;password
565;M;25;16;45242;password
566;M;25;17;92122;password
567;M;35;20;52570-9634;password
568;F;50;17;19716;password
569;F;18;4;97339;password
570;M;25;4;33314;password
571;M;50;5;95401;password
572;M;18;4;61801;password
573;F;35;2;98119;password
574;M;25;19;90214;password
575;M;25;12;92130;password
576;F;45;15;20910;password
577;M;35;0;2115;password
578;M;18;17;90064;password
579;M;25;5;32839;password
580;M;1;10;8534;password
581;M;50;14;73543;password
582;M;18;4;67042;password
583;F;25;0;48067;password
584;F;25;0;94403;password
585;M;18;1;53703;password
586;M;35;14;53092;password
587;M;25;20;92649;password
588;F;25;11;23220;password
589;M;18;2;90210;password
590;F;35;6;98032;password
591;M;25;0;76201;password
592;M;18;0;92103;password
593;F;50;1;91711;password
594;F;56;13;60076;password
595;M;25;7;10019;password
596;F;25;1;1950;password
597;M;35;12;80206;password
598;M;35;7;95476;password
599;M;50;6;53711;password
600;M;35;17;66209;password
601;F;18;20;6320;password
602;F;56;6;14612;password
603;F;25;6;32256;password
604;M;45;17;32256;password
605;F;18;4;44425;password
606;F;1;10;49507;password
607;M;25;0;43614;password
608;M;18;4;18011;password
609;M;25;7;10012;password
610;M;25;4;77025;password
611;M;35;0;20715;password
612;M;50;7;95020;password
613;M;35;20;10562;password
614;M;35;1;90024;password
615;M;50;17;32951;password
616;M;25;7;94115;password
617;F;25;7;92117;password
618;M;25;0;74105;password
619;F;18;1;94706;password
620;M;18;0;13210;password
621;M;18;4;93560;password
622;M;25;0;92612;password
623;M;25;17;60555;password
624;M;25;1;75207;password
625;F;35;12;44106;password
626;M;18;4;77005;password
627;M;50;2;97210;password
628;F;35;0;20715;password
629;F;1;10;48154;password
630;F;35;14;80525;password
631;M;35;17;28601;password
632;M;45;17;7649;password
633;M;25;17;94131;password
634;F;1;10;49512;password
635;M;56;17;33785;password
636;M;18;20;92055;password
637;M;35;12;97132;password
638;M;25;6;77584;password
639;M;45;17;85202;password
640;M;18;4;47406;password
641;F;35;0;55116;password
642;F;35;1;78155;password
643;M;25;2;23188;password
644;M;25;20;93704;password
645;M;35;20;11215;password
646;M;35;7;8505;password
647;M;35;12;85224;password
648;F;25;12;94131;password
649;M;25;4;80526;password
650;M;25;17;49445;password
651;M;35;7;20895;password
652;M;18;20;12222;password
653;M;56;13;92660;password
654;M;50;7;75023;password
655;F;25;2;92629;password
656;F;45;16;92106;password
657;F;50;13;34691;password
658;F;25;0;10021;password
659;F;25;0;28134;password
660;M;45;16;70507;password
661;M;45;1;13114;password
662;M;18;4;99163;password
663;F;25;7;12345;password
664;M;35;18;74601;password
665;M;18;2;13317;password
666;F;18;0;8540;password
667;M;25;18;98438;password
668;F;25;3;22042;password
669;M;25;17;30307;password
670;M;25;12;30303;password
671;M;18;4;61761;password
672;M;35;7;46845;password
673;M;25;20;10023;password
674;M;25;17;22042;password
675;M;25;20;2048;password
676;M;18;16;55129;password
677;M;50;2;94122;password
678;M;25;0;34952;password
679;M;35;16;29681;password
680;M;25;12;37013;password
681;M;35;7;30501;password
682;M;25;4;27510;password
683;M;25;4;27514;password
684;M;25;4;27510;password
685;M;25;4;27514;password
686;M;18;4;27514;password
687;F;25;7;14136;password
688;M;56;13;13407;password
689;F;50;0;48103;password
690;M;25;12;90717;password
691;M;35;11;96813;password
692;F;25;0;85207;password
693;M;35;12;98103;password
694;M;18;4;76401;password
695;F;18;1;4240;password
696;M;25;12;94114;password
697;F;50;6;97330;password
698;M;18;4;76401;password
699;M;18;0;73505;password
700;M;50;17;14650;password
701;F;18;4;1002;password
702;M;35;7;90808;password
703;F;56;1;44074;password
704;F;35;8;85712;password
705;M;25;4;48065;password
706;M;35;20;78664;password
707;M;35;7;17740;password
708;M;25;0;37042;password
709;M;18;0;92647;password
710;M;25;20;85207;password
711;M;25;18;80521;password
712;M;25;0;95136;password
713;M;35;7;79912;password
714;M;18;4;76013;password
715;M;18;0;53715;password
716;M;18;4;98188;password
717;M;25;11;90211;password
718;M;18;2;90211;password
719;M;1;0;75070;password
720;M;18;0;55129;password
721;F;35;9;97520;password
722;M;25;12;55106;password
723;M;25;12;98027;password
724;M;50;13;90266;password
725;M;56;11;8904;password
726;F;25;9;77449;password
727;M;35;11;94061;password
728;M;25;6;11598;password
729;M;35;12;85284;password
730;M;25;0;10580;password
731;M;45;3;55410;password
732;M;25;7;7030;password
733;M;35;16;30034;password
734;M;25;7;90078;password
735;M;25;14;4240;password
736;M;18;12;7070;password
737;M;1;19;53711;password
738;M;18;17;99205;password
739;M;35;12;55803;password
740;M;25;14;24551;password
741;M;25;5;44095;password
742;M;18;0;54758;password
743;F;1;2;60660;password
744;M;25;17;77007;password
745;M;1;10;90004;password
746;F;18;19;95019;password
747;M;18;4;98606;password
748;M;25;0;60098;password
749;M;35;18;56303;password
750;F;35;9;13066;password
751;F;25;17;97201;password
752;F;25;3;97401;password
753;M;1;10;42754;password
754;M;35;7;38024;password
755;F;35;0;94002;password
756;M;35;0;90064;password
757;M;25;12;97401;password
758;M;35;7;19518;password
759;F;56;3;89156;password
760;M;56;15;94114;password
761;M;18;7;99945;password
762;M;1;10;63041;password
763;M;18;10;2882;password
764;M;18;20;85296;password
765;M;25;17;74467;password
766;F;25;7;95128;password
767;M;25;12;45241;password
768;M;25;12;17067;password
769;M;45;17;2421;password
770;M;18;4;98499;password
771;F;50;1;75087;password
772;M;18;12;89118;password
773;M;25;6;48108;password
774;M;18;4;22903;password
775;M;1;17;56258;password
776;F;25;3;92627;password
777;M;18;19;87543;password
778;M;18;17;32694;password
779;M;25;0;60156;password
780;M;25;17;91776;password
781;M;18;4;95076;password
782;M;56;1;28223;password
783;M;25;4;53703;password
784;M;18;0;11040;password
785;M;18;19;29307;password
786;M;25;0;55987;password
787;M;18;4;77802;password
788;M;25;0;37601;password
789;M;18;1;67212;password
790;M;25;17;45694;password
791;M;35;7;27511;password
792;M;25;17;1002;password
793;F;35;14;37043;password
794;M;50;20;10543;password
795;F;35;14;19147;password
796;M;50;6;98237;password
797;F;50;7;20175;password
798;F;25;20;48464;password
799;F;25;5;98498;password
800;F;35;12;72032;password
801;F;25;20;95776;password
802;M;25;16;22801;password
803;M;18;4;67217;password
804;M;25;20;90032;password
805;M;35;12;37211;password
806;M;35;0;34990;password
807;M;18;4;89015;password
808;M;25;7;85226;password
809;M;25;17;70508;password
810;M;25;12;98006;password
811;M;50;0;94043;password
812;M;25;6;37930;password
813;M;18;4;70002;password
814;F;18;4;92612;password
815;M;25;4;37130;password
816;M;45;0;92108;password
817;M;18;4;41076;password
818;M;18;4;60107;password
819;M;35;7;60611;password
820;M;35;7;78759;password
821;M;18;2;14456;password
822;F;25;1;7666;password
823;M;25;0;92078;password
824;M;35;12;94530;password
825;M;56;1;39532;password
826;F;35;1;80210;password
827;M;45;2;55409;password
828;M;18;4;70817;password
829;M;1;19;53711;password
830;M;35;7;60657;password
831;F;45;0;20874;password
832;M;18;2;19464;password
833;M;35;7;46825;password
834;F;35;12;78640;password
835;M;56;0;94952;password
836;M;25;11;10023;password
837;M;56;7;8540;password
838;M;50;17;92661;password
839;M;25;0;98103;password
840;F;25;3;2828;password
841;F;50;14;92119;password
842;F;18;0;55102;password
843;M;25;7;49321;password
844;M;25;0;92121;password
845;F;18;0;20009;password
846;M;25;5;80209;password
847;F;25;7;80228;password
848;M;25;15;94121;password
849;M;25;3;75006;password
850;M;35;0;60640;password
851;M;18;4;75287;password
852;M;25;5;92105;password
853;M;25;17;55447;password
854;F;25;16;44092;password
855;F;18;2;72701;password
856;F;45;6;2453;password
857;M;35;17;11701;password
858;M;35;14;10013;password
859;M;25;12;10128;password
860;M;18;0;78237;password
861;M;25;7;37027;password
862;M;35;7;10019;password
863;M;25;7;62522;password
864;F;25;0;97205;password
865;M;35;1;91711;password
866;M;1;10;8820;password
867;M;45;12;95814;password
868;M;50;17;01702-7224;password
869;M;18;20;92026;password
870;F;25;1;2144;password
871;M;1;10;76013;password
872;M;50;1;20815;password
873;M;56;6;19027;password
874;M;45;15;26105;password
875;M;1;10;94707;password
876;M;25;4;43202;password
877;M;25;0;90631;password
878;M;18;2;1720;password
879;M;45;16;92018;password
880;M;35;17;94114;password
881;M;18;14;76401;password
882;M;18;2;1720;password
883;F;35;14;92673;password
884;M;1;10;49454;password
885;M;35;0;48105;password
886;F;56;0;14830;password
887;F;56;16;55345;password
888;F;1;10;8820;password
889;M;45;20;10024;password
890;M;18;4;92153;password
891;M;25;1;80202;password
892;M;35;0;76031;password
893;F;50;6;85016;password
894;M;18;4;31602;password
895;M;50;1;34683;password
896;M;18;15;94015;password
897;M;25;6;92130;password
898;M;25;7;77005;password
899;F;25;1;30605;password
900;F;56;13;90066;password
901;F;56;0;92027;password
902;M;56;0;45432;password
903;M;56;13;75165;password
904;M;35;20;92308;password
905;F;45;12;28655;password
906;M;1;10;71106;password
907;F;45;6;92117;password
908;F;50;1;92103;password
909;M;45;7;92831;password
910;F;50;0;98226;password
911;M;50;0;98226;password
912;F;35;2;91324;password
913;M;25;0;20744-6223;password
914;F;35;9;30338;password
915;M;25;7;72762;password
916;F;25;1;92084;password
917;M;50;6;92117;password
918;F;45;1;91901;password
919;F;35;1;92056;password
920;M;18;4;92173;password
921;M;25;17;92084;password
922;M;56;16;48009;password
923;M;25;7;37212;password
924;M;50;17;98642;password
925;F;35;3;48073;password
926;M;1;10;7869;password
927;F;25;20;91105;password
928;F;56;16;98199;password
929;M;25;15;53706;password
930;M;25;5;98380;password
931;F;56;1;6032;password
932;F;35;6;97838;password
933;M;45;1;49419;password
934;F;35;7;97401;password
935;M;35;14;60538;password
936;M;18;4;34567;password
937;M;25;15;60513;password
938;F;25;1;1060;password
939;F;25;20;20110-5616;password
940;M;1;10;76240;password
941;M;18;20;45387;password
942;F;50;6;85716;password
943;F;45;12;8033;password
944;M;35;0;91505;password
945;M;45;7;49345;password
946;M;35;7;48103-8929;password
947;M;18;0;21015;password
948;M;56;12;43056;password
949;M;50;17;96753;password
950;M;35;7;21044;password
951;M;45;2;10009;password
952;M;56;16;97478;password
953;M;50;20;97030;password
954;F;25;0;21030;password
955;F;50;7;94941;password
956;M;35;1;55104;password
957;M;35;1;29706;password
958;M;35;2;48116;password
959;M;50;11;44622;password
960;M;1;10;45244;password
961;M;18;10;10016;password
962;F;25;1;80020;password
963;M;25;0;48197;password
964;M;25;7;94123;password
965;M;56;7;10954;password
966;M;56;2;92262;password
967;F;18;0;43615;password
968;M;50;12;94530;password
969;F;25;11;19103;password
970;M;25;0;27615;password
971;M;25;12;43615;password
972;M;45;1;2138;password
973;F;25;1;80026;password
974;M;35;19;94930;password
975;M;35;0;98136;password
976;M;35;14;89113;password
977;M;25;2;80110;password
978;M;18;0;19116;password
979;M;1;10;48073;password
980;M;25;6;92014;password
981;M;25;20;2141;password
982;F;25;9;92064;password
983;F;25;16;99224;password
984;M;50;16;92129;password
985;M;25;4;32608;password
986;F;56;0;19004;password
987;F;35;17;48098;password
988;M;50;11;48823;password
989;M;50;0;20706;password
990;M;18;6;10004;password
991;F;25;9;48103;password
992;F;35;3;2780;password
993;M;25;0;45678;password
994;M;18;2;92109;password
995;F;18;4;96803;password
996;M;25;17;98102;password
997;M;1;19;15748;password
998;M;45;20;10019;password
999;M;25;15;62558;password
1000;F;25;6;90027;password
1001;M;25;4;90210;password
1002;M;50;11;7043;password
1003;M;25;2;19320;password
1004;M;25;3;95136;password
1005;M;35;11;8003;password
1006;M;18;4;53220;password
1007;M;50;12;1960;password
1008;M;35;3;77064;password
1009;M;50;7;48315;password
1010;M;25;0;10310;password
1011;M;25;8;92115;password
1012;F;35;1;30004;password
1013;M;56;13;2576;password
1014;F;45;17;3054;password
1015;M;35;3;11220;password
1016;M;56;16;60044;password
1017;M;35;0;30906;password
1018;M;18;4;95616;password
1019;M;35;1;60640;password
1020;M;18;20;93455;password
1021;M;35;0;94559;password
1022;M;25;3;918;password
1023;M;56;13;92675;password
1024;F;35;1;74135;password
1025;M;25;16;34677;password
1026;F;45;0;19130;password
1027;M;18;4;77005;password
1028;F;45;7;3848;password
1029;M;25;0;20015;password
1030;M;25;7;97303;password
1031;M;35;16;19803;password
1032;M;50;16;19425;password
1033;M;25;5;60076;password
1034;F;35;1;82601;password
1035;M;18;2;15956;password
1036;M;35;7;28036;password
1037;M;45;7;2081;password
1038;F;56;15;20194;password
1039;F;35;1;2346;password
1040;M;25;11;76309;password
1041;M;45;2;94306;password
1042;M;35;5;92801;password
1043;F;50;11;87004;password
1044;M;25;20;72701;password
1045;F;1;10;77477;password
1046;M;56;18;53404-1230;password
1047;M;18;0;62225;password
1048;M;35;6;75225;password
1049;M;45;14;95002;password
1050;M;25;1;97302;password
1051;F;25;0;60513;password
1052;F;35;2;75214;password
1053;M;35;0;18360;password
1054;M;1;10;75040;password
1055;M;35;0;91505;password
1056;M;1;0;48133;password
1057;M;45;17;73069;password
1058;M;25;1;97321;password
1059;F;25;0;97213;password
1060;M;18;10;11235;password
1061;M;45;0;46060;password
1062;M;50;19;59457;password
1063;M;35;7;50265;password
1064;M;25;7;91344;password
1065;F;25;0;94402;password
1066;M;45;12;2151;password
